"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000269955.2:ENST00000541515.3:CDS",0,NA,NA,NA,NA,NA
"ENSG00000269964.3:ENST00000602452.3:CDS",0.177618956496131,1.16356692628901,4.0804728567969,0.285154923736556,0.775525452875901,NA
"ENSG00000270011.7:ENST00000541595.6:CDS",0,NA,NA,NA,NA,NA
"ENSG00000270106.6:ENST00000602962.5:CDS",0,NA,NA,NA,NA,NA
"ENSG00000270136.6:ENST00000602293.5:CDS",0,NA,NA,NA,NA,NA
"ENSG00000270149.5:ENST00000289779.7:CDS",0,NA,NA,NA,NA,NA
"ENSG00000270168.2:ENST00000573315.2:CDS",0.318005620188464,-1.68146516293843,3.11047305234153,-0.54058181332664,0.588795856060961,NA
"ENSG00000270170.1:ENST00000602845.1:CDS",1.52596081198859,0.514268589881261,1.44064290159727,0.356971591857413,0.721113072914812,NA
"ENSG00000270181.3:ENST00000639435.1:CDS",0,NA,NA,NA,NA,NA
"ENSG00000270188.1:ENST00000604646.1:CDS",0,NA,NA,NA,NA,NA
"ENSG00000270276.2:ENST00000579512.2:CDS",0,NA,NA,NA,NA,NA
"ENSG00000270299.1:ENST00000488788.2:CDS",0.496416450895745,-0.699942989318641,2.55931365836818,-0.273488553085332,0.784477690382562,NA
"ENSG00000270316.1:ENST00000299353.6:CDS",0,NA,NA,NA,NA,NA
"ENSG00000270339.3:ENST00000584068.3:CDS",0,NA,NA,NA,NA,NA
"ENSG00000270379.5:ENST00000604834.5:CDS",5.68359481956208,1.20344687021166,0.805594630610172,1.49386158308943,0.135211801367362,NA
"ENSG00000270394.4:ENST00000604093.2:CDS",0,NA,NA,NA,NA,NA
"ENSG00000270601.4:ENST00000622421.2:CDS",0,NA,NA,NA,NA,NA
"ENSG00000270617.1:ENST00000603700.1:CDS",0,NA,NA,NA,NA,NA
"ENSG00000270629.5:ENST00000593495.2:CDS",0,NA,NA,NA,NA,NA
"ENSG00000270647.5:ENST00000605844.5:CDS",39.7148893965903,-0.172393885051803,0.354449063693384,-0.486371393552141,0.626703868943851,NA
"ENSG00000270672.1:ENST00000604952.1:CDS",0,NA,NA,NA,NA,NA
"ENSG00000270757.1:ENST00000604458.1:CDS",0,NA,NA,NA,NA,NA
"ENSG00000270765.5:ENST00000604641.5:CDS",0.517134865309809,1.08537326271764,2.53043130415951,0.42892816767383,0.667975500730417,NA
"ENSG00000270800.3:ENST00000639725.1:CDS",0,NA,NA,NA,NA,NA
"ENSG00000270806.1:ENST00000605587.1:CDS",0,NA,NA,NA,NA,NA
"ENSG00000270882.2:ENST00000578186.2:CDS",0,NA,NA,NA,NA,NA
"ENSG00000270885.1:ENST00000603017.1:CDS",0,NA,NA,NA,NA,NA
"ENSG00000270898.5:ENST00000406625.5:CDS",0,NA,NA,NA,NA,NA
"ENSG00000270946.5:ENST00000620704.4:CDS",0,NA,NA,NA,NA,NA
"ENSG00000271079.1:ENST00000420911.2:CDS",0,NA,NA,NA,NA,NA
"ENSG00000271092.5:ENST00000604534.5:CDS",0.3371946776057,0.201801239223132,3.1006496596576,0.0650835345407636,0.948107490167981,NA
"ENSG00000271271.5:ENST00000604629.5:CDS",0,NA,NA,NA,NA,NA
"ENSG00000271303.1:ENST00000381962.3:CDS",1.85488015971804,0.455976473287522,1.31479810518613,0.346803415284031,0.728739011168235,NA
"ENSG00000271321.1:ENST00000470691.2:CDS",0,NA,NA,NA,NA,NA
"ENSG00000271383.6:ENST00000578189.1:CDS",0,NA,NA,NA,NA,NA
"ENSG00000271425.7:ENST00000583866.8:CDS",12.3250345926869,0.555111812312545,0.526057556905538,1.05523018351436,0.291320062838354,NA
"ENSG00000271447.5:ENST00000605424.5:CDS",0,NA,NA,NA,NA,NA
"ENSG00000271449.7:ENST00000612907.1:CDS",0,NA,NA,NA,NA,NA
"ENSG00000271503.5:ENST00000603197.5:CDS",0.183490148053579,1.16356692628901,4.0804728567969,0.285154923736556,0.775525452875901,NA
"ENSG00000271567.1:ENST00000581164.1:CDS",0,NA,NA,NA,NA,NA
"ENSG00000271601.3:ENST00000604000.3:CDS",16.2205995548347,-0.206995704021616,0.472002052612901,-0.438548313245108,0.660988855638649,NA
"ENSG00000271605.5:ENST00000619286.4:CDS",0,NA,NA,NA,NA,NA
"ENSG00000271723.5:ENST00000425300.6:CDS",9.83663517254492,-0.149600191037663,0.615602430889727,-0.243014295478734,0.807994323166623,NA
"ENSG00000271741.1:ENST00000487874.1:CDS",0,NA,NA,NA,NA,NA
"ENSG00000271824.1:ENST00000607574.1:CDS",6.23546070271602,0.762177671624576,0.771889521828381,0.987418082602287,0.323437723276614,NA
"ENSG00000271949.1:ENST00000370453.5:CDS",0,NA,NA,NA,NA,NA
"ENSG00000272031.2:ENST00000606888.2:CDS",4.34385147363391,0.198106260426894,0.867870831481028,0.228266987713857,0.819438687083556,NA
"ENSG00000272047.2:ENST00000607778.1:CDS",7.00640796401321,-0.68851219385322,0.702667707804459,-0.979854611512647,0.327157890285043,NA
"ENSG00000272104.1:ENST00000606589.1:CDS",0,NA,NA,NA,NA,NA
"ENSG00000272162.1:ENST00000480294.1:CDS",0,NA,NA,NA,NA,NA
"ENSG00000272196.2:ENST00000607355.2:CDS",0,NA,NA,NA,NA,NA
"ENSG00000272325.1:ENST00000607016.1:CDS",3.29237650758694,-0.0524045558276379,1.10012920232426,-0.0476349102604695,0.962007209234212,NA
"ENSG00000272391.5:ENST00000615331.4:CDS",7.1081936179001,0.481868076955363,0.718337429596598,0.670810202979357,0.502341446846225,NA
"ENSG00000272395.7:ENST00000616270.4:CDS",0,NA,NA,NA,NA,NA
"ENSG00000272398.5:ENST00000619133.4:CDS",7.31056274885333,0.0643354239069487,0.710169968922437,0.0905915861305242,0.927817117736608,NA
"ENSG00000272414.5:ENST00000515604.5:CDS",0,NA,NA,NA,NA,NA
"ENSG00000272514.5:ENST00000369562.8:CDS",0,NA,NA,NA,NA,NA
"ENSG00000272573.5:ENST00000446157.2:CDS",0,NA,NA,NA,NA,NA
"ENSG00000272602.5:ENST00000610261.5:CDS",0.328919347729456,0.201801078676862,3.12661955350995,0.0645428953613237,0.948537952733394,NA
"ENSG00000272636.3:ENST00000613549.2:CDS",0.520684825659279,1.1240647195196,2.67056507231379,0.420908942145981,0.673821575240677,NA
"ENSG00000272647.3:ENST00000455905.1:CDS",0,NA,NA,NA,NA,NA
"ENSG00000272674.3:ENST00000609684.2:CDS",0.164301090636343,-0.759986425353481,4.0804728567969,-0.186249597050391,0.852249031507618,NA
"ENSG00000272741.1:ENST00000431391.1:CDS",0,NA,NA,NA,NA,NA
"ENSG00000272804.3:ENST00000609664.2:CDS",0,NA,NA,NA,NA,NA
"ENSG00000272822.1:ENST00000398092.4:CDS",0.318005620188464,-1.68146516293843,3.11047305234153,-0.54058181332664,0.588795856060961,NA
"ENSG00000272886.5:ENST00000610213.5:CDS",5.82065882049123,0.293606301923353,0.780419063473066,0.376216209553787,0.706756165673765,NA
"ENSG00000272899.3:ENST00000609480.3:CDS",0,NA,NA,NA,NA,NA
"ENSG00000272916.5:ENST00000603027.5:CDS",0,NA,NA,NA,NA,NA
"ENSG00000272949.1:ENST00000481893.1:CDS",0,NA,NA,NA,NA,NA
"ENSG00000272968.5:ENST00000407184.5:CDS",0,NA,NA,NA,NA,NA
"ENSG00000273003.1:ENST00000301886.3:CDS",0,NA,NA,NA,NA,NA
"ENSG00000273025.1:ENST00000569547.1:CDS",0,NA,NA,NA,NA,NA
"ENSG00000273045.6:ENST00000302513.7:CDS",8.61829405571253,0.362783840897638,0.656205761115413,0.552850740415599,0.580365620460493,NA
"ENSG00000273079.5:ENST00000609686.3:CDS",0,NA,NA,NA,NA,NA
"ENSG00000273111.5:ENST00000609812.5:CDS",0,NA,NA,NA,NA,NA
"ENSG00000273136.6:ENST00000620612.5:CDS",1.94161290371297,-0.791487417475915,1.32822432423439,-0.595898902794255,0.551242766262352,NA
"ENSG00000273155.1:ENST00000410042.1:CDS",0,NA,NA,NA,NA,NA
"ENSG00000273167.1:ENST00000382141.4:CDS",0,NA,NA,NA,NA,NA
